"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.17854545455E+009, -7.33334834456E+000, +0.00000000000E+000
+1.18181818182E+009, -7.16851667718E+000, +0.00000000000E+000
+1.18509090909E+009, -7.04056922433E+000, +0.00000000000E+000
+1.18836363636E+009, -6.95207868200E+000, +0.00000000000E+000
+1.19163636364E+009, -6.89046232195E+000, +0.00000000000E+000
+1.19490909091E+009, -6.82958305111E+000, +0.00000000000E+000
+1.19818181818E+009, -6.75279915743E+000, +0.00000000000E+000
+1.20145454545E+009, -6.67223513184E+000, +0.00000000000E+000
+1.20472727273E+009, -6.60037003102E+000, +0.00000000000E+000
+1.20800000000E+009, -6.53580120535E+000, +0.00000000000E+000
+1.21127272727E+009, -6.47753943835E+000, +0.00000000000E+000
+1.21454545455E+009, -6.42348780299E+000, +0.00000000000E+000
+1.21781818182E+009, -6.37157469148E+000, +0.00000000000E+000
+1.22109090909E+009, -6.31914967152E+000, +0.00000000000E+000
+1.22436363636E+009, -6.26192889751E+000, +0.00000000000E+000
+1.22763636364E+009, -6.19701247367E+000, +0.00000000000E+000
+1.23090909091E+009, -6.12332890824E+000, +0.00000000000E+000
+1.23418181818E+009, -6.04071618281E+000, +0.00000000000E+000
+1.23745454545E+009, -5.95210060416E+000, +0.00000000000E+000
+1.24072727273E+009, -5.86023474374E+000, +0.00000000000E+000
+1.24400000000E+009, -5.76807257407E+000, +0.00000000000E+000
+1.24727272727E+009, -5.67808466402E+000, +0.00000000000E+000
+1.25054545455E+009, -5.59207356065E+000, +0.00000000000E+000
+1.25381818182E+009, -5.51072352134E+000, +0.00000000000E+000
+1.25709090909E+009, -5.43317857252E+000, +0.00000000000E+000
+1.26036363636E+009, -5.36011971787E+000, +0.00000000000E+000
+1.26363636364E+009, -5.29165824453E+000, +0.00000000000E+000
+1.26690909091E+009, -5.22831933853E+000, +0.00000000000E+000
+1.27018181818E+009, -5.17053716378E+000, +0.00000000000E+000
+1.27345454545E+009, -5.11884491027E+000, +0.00000000000E+000
+1.27672727273E+009, -5.07211526184E+000, +0.00000000000E+000
+1.28000000000E+009, -5.02953972136E+000, +0.00000000000E+000
+1.28327272727E+009, -4.99043898916E+000, +0.00000000000E+000
+1.28654545455E+009, -4.95441622842E+000, +0.00000000000E+000
+1.28981818182E+009, -4.92259217741E+000, +0.00000000000E+000
+1.29309090909E+009, -4.89552229716E+000, +0.00000000000E+000
+1.29636363636E+009, -4.87486545329E+000, +0.00000000000E+000
+1.29963636364E+009, -4.86200288491E+000, +0.00000000000E+000
+1.30290909091E+009, -4.85453720892E+000, +0.00000000000E+000
+1.30618181818E+009, -4.85193744835E+000, +0.00000000000E+000
+1.30945454545E+009, -4.84948189776E+000, +0.00000000000E+000
